Term,Part Of Speech,Sentiment,Frequency
accolade,NN,positive,2
patriot,NN,positive,2
intimate,JJ,positive,4
felicity,NN,positive,1
rupture,NN,negative,4
isolation,NN,negative,4
envision,VBP,positive,2
ample,JJ,positive,2
proactive,JJ,positive,4
astute,JJ,positive,2
vibrant,JJ,positive,2
ovation,NN,positive,4
sporadic,JJ,negative,2
naturally,RB,positive,2
fond,JJ,positive,2
hypocrites,NNS,negative,2
matchless,JJ,positive,2
contravene,VBP,negative,1
infiltrator,NN,negative,2
crusader,NN,positive,1
fury,NN,negative,2
oddity,NN,negative,2
annihilate,VBP,negative,1
smut,NN,negative,1
asset,NN,positive,2
delicate,JJ,positive,2
critics,NNS,negative,4
savage,NN,negative,3
tenderness,NN,positive,2
comprehensive,JJ,positive,2
voluntarily,RB,positive,2
cheat,VB,negative,3
misgivings,NNS,negative,2
indeterminably,RB,negative,1
divisive,JJ,negative,2
lessen,VBP,negative,1
slur,NN,negative,2
detract,VB,negative,1
assurances,NNS,positive,4
unity,NN,positive,4
thrill,NN,positive,2
restful,JJ,positive,2
motivation,NN,positive,4
disavow,VB,negative,1
competency,NN,positive,2
travesties,NNS,negative,2
freedoms,NNS,positive,4
puppets,NNS,negative,4
flair,NN,positive,2
unfit,JJ,negative,2
beggarly,JJ,negative,2
forlorn,JJ,negative,1
difference,NN,neutral,4
mysteriously,RB,negative,2
incitement,NN,negative,4
fiat,NN,negative,4
blatant,JJ,negative,2
adorer,NN,positive,2
imperialist,NN,negative,1
judgement,NN,neutral,4
orderly,JJ,positive,2
outlaw,NN,negative,1
compromise,NN,positive,6
arcane,JJ,negative,2
autocrat,NN,negative,2
listless,JJ,negative,2
compromises,NNS,positive,4
sloppy,JJ,negative,2
dummy,NN,negative,2
alert,JJ,neutral,1
embolden,VB,positive,1
foretell,VBP,neutral,1
impolitic,JJ,negative,1
unaudited,JJ,neutral,2
insufferable,JJ,negative,2
babble,VB,negative,1
insufferably,RB,negative,2
adaptability,NN,positive,2
mollify,VB,positive,2
gloomy,JJ,negative,2
heretical,JJ,negative,2
commotion,NN,negative,4
acknowledgement,NN,positive,2
prickles,NNS,negative,2
sweeten,VBP,positive,1
flighty,JJ,negative,1
fluent,JJ,positive,2
sloppily,RB,negative,2
defile,VBP,negative,1
welcome,JJ,positive,8
charisma,NN,negative,2
accomplishments,NNS,positive,2
revert,VB,negative,1
enviousness,NN,negative,2
mudslinging,NN,negative,2
subscribe,VBP,positive,2
hubris,NN,negative,1
frank,JJ,positive,2
infallibility,NN,positive,2
incautious,JJ,negative,2
complacent,JJ,negative,4
salivate,VBP,positive,1
admirable,JJ,positive,4
desolate,JJ,negative,2
inhumanity,NN,negative,2
ignominious,JJ,negative,2
permissible,JJ,positive,2
void,NN,negative,1
manipulative,JJ,negative,2
capitulate,VBP,negative,1
misunderstanding,NN,negative,3
taunts,NNS,negative,2
mania,NN,negative,2
unsound,JJ,negative,2
disaster,NN,negative,2
straightforward,JJ,positive,2
hegemonistic,JJ,negative,1
pernicious,JJ,negative,2
vulgar,JJ,negative,1
authentic,JJ,positive,2
undue,JJ,negative,2
enable,VB,positive,2
mismanage,VB,negative,1
unfriendly,JJ,negative,2
killjoy,NN,negative,2
indecision,NN,negative,2
lighten,VB,positive,2
disdain,NN,negative,4
less,RBR,negative,3
steadfastness,NN,positive,2
encroachment,NN,negative,2
insufficiency,NN,negative,2
resistant,NN,negative,2
actuality,IN,neutral,1
deplorable,JJ,negative,4
timidness,NN,negative,2
assiduously,RB,positive,2
thorough,JJ,positive,2
havoc,NN,negative,2
lonely,JJ,negative,2
immensity,NN,neutral,2
submissive,JJ,negative,2
nourishing,JJ,positive,1
airs,NNS,negative,2
neat,JJ,positive,2
charity,NN,positive,2
insufficient,JJ,negative,2
unfounded,JJ,negative,2
desiccated,JJ,negative,1
strange,JJ,negative,4
strictly,RB,negative,2
luckiness,NN,positive,2
implausible,JJ,negative,2
misbehavior,NN,negative,2
burden,NN,negative,4
imperil,VB,negative,1
elation,NN,positive,2
ineffectively,RB,negative,2
preposterous,JJ,negative,2
radicalization,NN,negative,4
cocky,JJ,negative,2
powerless,JJ,negative,2
insupportably,RB,negative,1
stunt,NN,negative,2
sanctuary,NN,positive,4
peerless,JJ,positive,2
ecstasies,NNS,positive,2
stunning,JJ,positive,2
ultimatum,NN,negative,2
decrease,NN,negative,4
sluggish,JJ,negative,2
sexy,JJ,positive,2
intolerable,JJ,negative,2
calamities,NNS,negative,2
attitudes,NNS,neutral,4
benefit,NN,positive,4
lurk,VBP,negative,1
hotbeds,NNS,negative,4
discontented,JJ,negative,1
downbeat,JJ,negative,1
unspeakable,JJ,negative,2
resourceful,JJ,positive,2
ignoble,JJ,negative,2
inarguable,JJ,neutral,2
impeccable,JJ,positive,2
distinction,NN,positive,2
worth,NN,positive,3
appease,VB,positive,2
autocratic,JJ,negative,6
clamorous,JJ,negative,2
scar,NN,negative,4
trivialize,VB,negative,2
starve,VB,negative,1
calumnious,JJ,negative,2
acclaimed,JJ,positive,2
manifest,JJ,positive,2
diversified,JJ,positive,1
determination,NN,positive,6
sparingly,RB,positive,2
adolescents,NNS,neutral,4
poetic,JJ,positive,2
discountenance,NN,negative,2
spiritual,NN,positive,2
intricate,JJ,positive,2
neglect,NN,negative,4
crippling,JJ,negative,2
indeterminate,JJ,negative,2
warning,NN,negative,2
hypnotize,VB,neutral,1
hurtful,JJ,negative,2
atrocity,NN,negative,2
recession,NN,negative,2
groundless,JJ,negative,2
stubborn,JJ,negative,2
misrepresent,VB,negative,1
withhold,VB,negative,1
unresolved,JJ,negative,2
sanguine,JJ,positive,2
worrier,NN,negative,2
pale,NN,negative,2
gain,NN,positive,4
punishable,JJ,negative,2
cynical,JJ,negative,2
steadfastly,RB,positive,2
placate,VBP,positive,1
elegant,JJ,positive,2
irreformable,JJ,negative,1
ambitious,JJ,positive,4
accolades,NNS,positive,2
stale,JJ,negative,2
fine,JJ,positive,2
inactive,JJ,negative,2
brutish,JJ,negative,2
viability,NN,positive,2
soften,VB,positive,3
capitalize,VBP,positive,2
passionate,JJ,positive,2
snare,NN,negative,1
scandal,NN,negative,4
reckless,JJ,negative,2
carnage,NN,negative,2
furious,JJ,negative,2
stimulate,VBP,positive,2
draconic,JJ,negative,1
compliant,JJ,positive,4
deflationary,JJ,positive,2
tenacious,JJ,positive,2
interference,NN,negative,4
exemplary,JJ,positive,2
scary,JJ,negative,4
indelicate,JJ,negative,2
defender,NN,positive,4
superior,JJ,positive,2
opportune,JJ,positive,2
hardheaded,JJ,negative,2
dump,NN,negative,1
anarchism,NN,negative,2
venom,NN,negative,4
shrug,VBP,negative,2
embrace,VB,positive,1
coax,VB,positive,2
perceptions,NNS,neutral,4
hawkish,JJ,negative,4
diligent,JJ,positive,1
contemptuous,JJ,negative,2
enthusiasm,NN,positive,2
dull,JJ,negative,2
swindle,VBP,negative,1
upgrade,VBP,positive,1
universal,JJ,positive,2
befitting,JJ,positive,2
unrealistic,JJ,negative,2
imbalance,NN,negative,4
gaiety,NN,positive,2
disarm,VB,negative,1
chum,NN,positive,2
hindrance,NN,negative,2
loophole,NN,negative,2
scum,NN,negative,2
tenuous,JJ,negative,2
stir,VB,neutral,6
savagery,NN,negative,2
heroine,NN,positive,2
static,JJ,negative,2
efficacious,JJ,positive,2
overwhelm,VB,negative,2
lie,VBP,negative,3
inflame,VBP,negative,1
lovably,RB,positive,2
navigable,JJ,positive,2
key,JJ,neutral,1
believable,JJ,positive,2
contradiction,NN,negative,2
jolt,VBP,negative,1
genius,NN,positive,2
sinfully,RB,negative,2
endorsement,NN,positive,4
disgust,NN,negative,4
ignite,VBP,neutral,2
deluded,JJ,negative,1
oppose,VBP,negative,2
repulsiveness,NN,negative,2
acceptance,NN,positive,2
noble,JJ,positive,2
petrified,JJ,negative,2
love,VBP,positive,2
practicable,JJ,positive,2
whiff,NN,neutral,2
concede,VBP,negative,2
ironic,JJ,negative,2
pestilent,JJ,negative,2
precautions,NNS,positive,2
loser,NN,negative,2
hapless,JJ,negative,2
strict,JJ,negative,2
perfunctory,JJ,negative,4
omission,NN,negative,2
apathetic,JJ,negative,4
dehumanize,VB,negative,1
quarrelsome,JJ,negative,1
disbelieve,VBP,negative,1
privilege,NN,positive,2
hotheaded,JJ,negative,1
err,VB,negative,2
cheapen,VB,negative,1
outsmart,VB,positive,1
mulish,JJ,negative,2
insinuation,NN,negative,4
asinininity,NN,negative,1
harden,VB,negative,1
contentious,JJ,negative,4
overpower,VB,negative,1
terrify,VB,positive,1
adore,VBP,positive,1
abysmal,JJ,negative,2
goof,NN,negative,2
degenerate,VB,negative,3
equality,NN,positive,4
inconsistency,NN,negative,2
droop,VB,negative,1
inefficacious,NN,negative,2
inspirational,JJ,positive,2
elan,NN,positive,2
slanderous,JJ,negative,2
diminish,VB,negative,2
insatiable,JJ,negative,2
harbors,NNS,negative,2
pray,VB,neutral,1
indecency,NN,negative,2
weirdly,RB,negative,2
righteousness,NN,positive,2
scenic,JJ,positive,2
enthrall,VB,positive,1
indefatigable,JJ,positive,2
defiance,NN,negative,4
engross,VB,neutral,1
askance,RB,negative,1
reject,VBP,negative,2
unsettle,VBP,negative,1
collide,VBP,negative,1
luster,NN,positive,2
bungle,VB,negative,1
detest,VBP,negative,1
obsessive,JJ,negative,2
erode,VB,negative,2
chafe,VBP,negative,2
inefficiency,NN,negative,2
inextricable,JJ,negative,2
bitterness,NN,negative,2
perspicuously,RB,positive,1
fortunate,JJ,positive,4
accuses,VBZ,negative,2
shortage,NN,negative,2
warily,RB,negative,2
elaborate,JJ,neutral,2
straggle,VB,negative,1
disunity,NN,negative,2
demon,NN,negative,2
erroneous,JJ,negative,4
adeptly,RB,positive,2
despise,VBP,negative,2
tormented,JJ,negative,1
inability,NN,negative,4
dissident,NN,negative,2
abolish,VBP,negative,2
heckle,VB,negative,1
destructive,JJ,negative,3
arouse,VB,positive,1
sympathy,NN,negative,4
harms,NNS,negative,2
straggler,NN,negative,2
betray,VB,negative,1
hard,JJ,negative,4
evaluation,NN,neutral,4
indifference,NN,negative,2
contortions,NNS,negative,4
glisten,VB,positive,2
improvise,VBP,positive,1
enviable,JJ,positive,2
symptom,NN,negative,2
freedom,NN,positive,4
commonsensical,JJ,positive,2
instigate,VB,negative,1
grief,NN,negative,2
electrification,NN,positive,4
solidarity,NN,positive,4
stood,VBD,positive,2
impotent,JJ,negative,2
disposition,NN,neutral,2
prodigy,NN,positive,2
wise,JJ,positive,4
gigantic,JJ,neutral,2
irreversible,JJ,negative,3
understood,VBN,positive,2
subtract,VB,negative,2
admonisher,IN,negative,1
understand,VBP,positive,2
revolution,NN,positive,4
acridness,NN,negative,2
signify,VB,positive,2
confidence,NN,positive,6
unsure,JJ,negative,2
hothouse,NN,negative,4
fathom,VBP,positive,1
fictitious,JJ,negative,2
indeterminable,JJ,negative,2
ideal,JJ,positive,2
punctual,JJ,positive,2
rightful,JJS,positive,1
might,MD,neutral,2
sass,NN,negative,2
impervious,JJ,positive,2
chivalrous,JJ,positive,2
courage,NN,positive,4
worry,VBP,negative,3
accusations,NNS,negative,4
maledict,NN,negative,2
agreement,NN,positive,4
treat,NN,positive,1
demand,NN,both,6
fruitful,JJ,positive,2
sneak,NN,negative,2
fake,JJ,negative,1
slump,NN,negative,4
graceless,JJ,negative,2
shiny,JJ,positive,4
mirage,NN,negative,2
indiscriminate,JJ,negative,2
innocuous,JJ,positive,3
expertly,RB,positive,2
trauma,NN,negative,4
indication,NN,neutral,4
infringe,VB,negative,1
benefactor,NN,positive,2
balk,VBP,negative,1
worriedly,RB,negative,2
integrity,NN,positive,2
heathen,NN,negative,2
dependable,JJ,positive,2
effusiveness,NN,positive,2
reluctant,JJ,negative,2
fantasy,NN,positive,4
incomprehension,NN,negative,2
strenuous,JJ,negative,2
ridicule,NN,negative,2
bother,VB,negative,4
regally,RB,positive,2
nuances,NNS,neutral,4
gorgeous,JJ,positive,2
miff,VB,negative,1
debaucher,NN,negative,1
disease,NN,negative,2
outraged,JJ,negative,1
besides,IN,neutral,2
prime,JJ,neutral,2
volatility,NN,negative,2
renown,NN,positive,2
fatty,JJ,negative,1
earsplitting,JJ,negative,1
safeguard,VB,positive,2
ungovernable,JJ,negative,4
aloof,JJ,negative,1
unkind,JJ,negative,2
mislead,VB,negative,2
exclude,VBP,negative,2
virulent,JJ,negative,2
prudent,JJ,positive,2
harm,NN,negative,4
deceive,VB,negative,2
colossal,JJ,positive,2
lifeblood,NN,positive,2
bulky,JJ,negative,2
collusion,NN,negative,2
succeed,VB,positive,2
gratify,VB,positive,1
skill,NN,positive,2
picky,JJ,negative,2
limitation,NN,negative,2
convince,VBP,positive,2
sadness,NN,negative,2
importune,VBP,negative,1
unavailable,JJ,negative,2
venerate,VBP,positive,1
retaliate,VBP,negative,1
condemn,VBP,negative,4
engaging,JJ,positive,1
firm,NN,neutral,4
disoriented,JJ,negative,1
protracted,JJ,negative,2
unexplained,JJ,negative,2
indulgent,JJ,positive,2
destroyer,NN,negative,4
unhealthy,JJ,negative,2
help,NN,positive,3
twists,NNS,negative,4
admiration,NN,positive,2
grit,NN,positive,4
bowdlerize,VBP,negative,1
realization,NN,neutral,4
trendy,JJ,positive,2
highlight,NN,positive,4
harsh,JJ,negative,2
felonious,JJ,negative,2
charming,JJ,positive,4
fatal,JJ,negative,2
quit,VBD,negative,1
annoyed,JJ,negative,1
aptitude,NN,positive,2
fugitive,JJ,negative,1
paranoia,NN,negative,2
boastful,JJ,negative,1
halfway,NN,neutral,4
cautionary,JJ,negative,2
exorbitant,JJ,negative,2
distracting,JJ,negative,1
anomaly,NN,negative,1
antagonistic,JJ,negative,2
majesty,NN,positive,1
healthful,JJ,positive,2
energetic,JJ,positive,4
insupportable,JJ,negative,2
liberate,VB,positive,1
ruffle,VB,negative,1
sweet,JJ,positive,2
lech,NN,negative,1
prospects,NNS,positive,4
heady,JJ,positive,2
debility,NN,negative,2
hopelessness,NN,negative,2
cannibalize,VB,negative,1
cleanliness,NN,positive,2
suffocate,VB,negative,1
courtly,JJ,positive,2
bankrupt,JJ,negative,4
weaknesses,NNS,negative,4
pricey,JJ,negative,2
inundate,VB,negative,1
explicitly,RB,positive,2
dope,NN,negative,2
wallow,VBP,negative,1
okay,JJ,positive,4
apotheosis,NN,positive,2
needy,JJ,negative,2
pleas,NNS,negative,4
hardliner,NN,negative,2
struggle,NN,negative,4
racism,NN,negative,4
leverage,NN,positive,4
luxuriate,VBP,positive,1
indecorum,NN,negative,1
cheat,VBP,negative,1
vociferous,JJ,negative,2
deviation,NN,negative,2
sarcastic,JJ,negative,2
commentator,NN,neutral,4
soothe,VBP,positive,2
misstatement,NN,negative,2
relax,VB,positive,1
sputter,VBP,negative,2
astonishing,JJ,positive,4
worthless,JJ,negative,2
talented,JJ,positive,1
offensiveness,NN,negative,2
extreme,JJ,negative,2
heavily,RB,negative,2
assassinate,VBP,negative,1
assessment,NN,neutral,4
subordinate,NN,negative,2
efficiency,NN,positive,2
massacre,NN,negative,4
shock,NN,negative,6
demean,VB,negative,1
antagonist,NN,negative,2
powerful,JJ,positive,2
haven,NN,positive,2
condescend,VB,negative,1
inexcusably,RB,negative,2
molestation,NN,negative,2
vain,JJ,negative,2
frazzle,VB,negative,2
consensus,NN,positive,2
must,MD,neutral,2
brashness,NN,negative,2
dispensable,JJ,negative,2
craven,SYM,negative,1
hypocritical,JJ,negative,2
absurdity,NN,negative,2
cheerless,JJ,negative,2
enlighten,VB,positive,1
divide,VBP,negative,1
untrained,JJ,positive,2
surpass,VBP,positive,2
vouchsafe,VB,positive,1
excusable,JJ,positive,4
feisty,JJ,positive,4
toughness,NN,negative,4
cramped,JJ,negative,1
tired,JJ,negative,1
authoritative,JJ,positive,2
staid,JJ,negative,1
traitor,NN,negative,2
stake,NN,negative,4
unconvincing,JJ,negative,2
popular,JJ,positive,4
accurate,JJ,positive,2
heinous,JJ,negative,2
retreat,NN,negative,4
gainfully,RB,positive,2
fervent,JJ,positive,2
misdirection,NN,negative,2
obsessiveness,NN,negative,2
obstruction,NN,negative,2
contemplate,VBP,neutral,2
reinforcement,NN,positive,2
urgently,RB,negative,2
shaky,JJ,negative,2
hope,NN,positive,3
sticky,JJ,negative,2
misguidance,NN,negative,2
excellency,NN,positive,2
asininely,RB,negative,2
felicitous,JJ,positive,2
peacekeepers,NNS,positive,4
flak,NN,negative,2
mm,SYM,neutral,1
reactions,NNS,neutral,4
morbid,JJ,negative,2
wonderful,JJ,positive,4
indolent,JJ,negative,2
defensive,JJ,negative,1
steady,JJ,positive,2
immoderate,JJ,negative,2
harassment,NN,negative,4
banal,JJ,negative,4
direness,NN,negative,1
debilitate,VBP,negative,1
improve,VB,positive,2
envy,NN,negative,4
courageousness,NN,positive,2
sardonically,RB,negative,2
hinder,VBP,negative,2
famed,JJ,positive,4
brutalising,NN,negative,2
fear,VBP,negative,2
guilty,JJ,negative,2
personages,NNS,positive,4
deceptive,JJ,negative,4
pleasure,NN,positive,4
boast,VBP,negative,2
greatest,JJS,positive,2
plunderer,SYM,negative,1
wreck,NN,negative,2
licentiousness,NN,negative,2
ease,VB,positive,2
slothful,JJ,negative,2
vivid,JJ,positive,2
disintegration,NN,negative,2
reprehensive,JJ,negative,1
comrades,NNS,positive,4
penalize,VB,negative,2
admonish,VB,negative,1
rampant,JJ,negative,2
reiterate,VB,neutral,1
serene,JJ,positive,2
impoverish,VB,negative,1
controversy,NN,negative,4
dotingly,RB,positive,2
likable,JJ,positive,2
dissent,NN,negative,4
fright,NN,negative,4
calamity,NN,negative,4
weariness,NN,negative,2
condescendingly,RB,negative,2
reparation,NN,positive,2
exploit,VBP,negative,2
nuisance,NN,negative,4
frazzled,JJ,negative,1
invaluable,JJ,positive,2
glib,JJ,negative,2
liability,NN,negative,4
bland,JJ,negative,2
temptation,NN,negative,2
coward,NN,negative,2
deplore,VBP,negative,1
violator,NN,negative,4
limitless,JJ,neutral,4
slime,NN,negative,2
treacherously,RB,negative,2
seething,JJ,negative,1
inequality,NN,negative,4
irritably,RB,negative,2
delusion,NN,negative,4
imbecile,FW,negative,1
shelter,NN,positive,4
disobedient,JJ,negative,1
critic,NN,negative,2
potential,NN,positive,2
refresh,VB,positive,1
sweetly,RB,positive,2
reproach,NN,negative,3
anyhow,IN,neutral,1
marvel,VBP,positive,2
insolent,JJ,negative,2
tragedy,NN,negative,4
dubious,JJ,negative,2
complement,VBP,positive,4
obediently,RB,positive,2
steep,JJ,negative,1
unpretentious,JJ,positive,2
tamper,VBP,negative,2
overemphasize,VBP,negative,2
stabilize,VB,positive,2
breakthrough,NN,positive,4
sturdy,JJ,positive,2
belated,JJ,negative,2
nebulous,JJ,negative,4
intimidate,VB,negative,1
underlings,NNS,negative,4
destitution,NN,negative,2
lawfully,RB,positive,2
horrendous,JJ,negative,2
malaise,NN,negative,2
glorious,JJ,positive,2
decadence,NN,negative,2
giddy,JJ,positive,2
impartiality,NN,positive,2
sheer,JJ,negative,1
tiny,JJ,negative,2
restrict,VB,negative,2
ferocity,NN,negative,2
jam,NN,negative,2
pleased,JJ,positive,2
superficially,RB,negative,2
nervous,JJ,negative,2
intuitive,JJ,positive,2
disappointment,NN,negative,4
nurture,VBP,positive,2
uncontrolled,JJ,negative,2
principled,JJ,positive,2
destroy,VB,negative,2
horrid,JJ,negative,2
invader,NN,negative,2
impatience,NN,negative,2
exultation,NN,positive,2
respect,NN,positive,7
battleground,NN,negative,4
oversight,NN,negative,2
painful,JJ,negative,2
fundamental,JJ,neutral,2
inoffensive,JJ,positive,2
lecherous,JJ,negative,2
continuity,NN,positive,2
aggressor,NN,negative,2
shrew,NN,negative,1
lose,VB,negative,1
emasculate,VB,negative,1
outshine,VBP,positive,1
flout,VB,negative,1
rascal,NN,negative,2
simplistic,JJ,negative,4
endorser,NN,positive,2
imagination,NN,neutral,4
painfully,RB,negative,2
degrade,VB,negative,1
eminence,NN,positive,2
mockery,NN,negative,2
eternity,NN,positive,4
astound,VB,positive,1
bleak,JJ,negative,2
costly,JJ,negative,2
toil,VBP,negative,2
contamination,NN,negative,2
mortification,NN,negative,2
madder,NN,negative,1
lapse,NN,negative,2
retard,VB,negative,2
coercive,JJ,negative,1
undesirable,JJ,negative,2
craziness,NN,negative,2
meaningful,JJ,positive,2
spur,VB,positive,2
loopholes,NNS,negative,4
hustler,NN,negative,1
tortuous,JJ,negative,2
