Word,POS,Stemmed,Priorpolarity,Type
adulatory,adj,n,positive,strongsubj
adulterate,verb,y,negative,strongsubj
adulterated,anypos,n,negative,strongsubj
adulteration,noun,n,negative,strongsubj
advanced,adj,n,positive,weaksubj
advantage,adj,n,positive,weaksubj
advantage,noun,n,positive,weaksubj
advantageous,adj,n,positive,strongsubj
advantages,adj,n,positive,weaksubj
advantages,noun,n,positive,weaksubj
adventure,adj,n,positive,weaksubj
adventure,noun,n,positive,weaksubj
adventuresome,noun,n,positive,strongsubj
adventurism,noun,n,positive,strongsubj
adventurous,adj,n,positive,weaksubj
adversarial,adj,n,negative,weaksubj
adversary,noun,y,negative,weaksubj
adverse,adj,n,negative,weaksubj
adversity,noun,n,negative,strongsubj
advice,adj,n,positive,weaksubj
advice,noun,n,positive,weaksubj
advisable,noun,n,positive,weaksubj
advocate,verb,y,positive,strongsubj
advocacy,noun,n,positive,strongsubj
affable,adj,n,positive,strongsubj
affability,noun,n,positive,weaksubj
affably,adverb,n,positive,weaksubj
affect,verb,y,neutral,weaksubj
affectation,noun,n,negative,weaksubj
affected,adj,n,neutral,strongsubj
affection,adj,n,positive,strongsubj
affection,noun,n,positive,strongsubj
affectionate,adj,n,positive,strongsubj
affinity,noun,n,positive,weaksubj
affirm,verb,y,positive,strongsubj
affirmation,adj,n,positive,strongsubj
affirmation,noun,n,positive,strongsubj
affirmative,noun,n,positive,weaksubj
afflict,verb,y,negative,weaksubj
affliction,noun,n,negative,weaksubj
afflictive,adj,n,negative,strongsubj
affluent,adj,n,positive,weaksubj
affluence,noun,n,positive,weaksubj
afford,verb,y,positive,weaksubj
affordable,adj,n,positive,weaksubj
affront,noun,n,negative,strongsubj
affront,verb,y,negative,strongsubj
afloat,adj,n,positive,weaksubj
afraid,adj,n,negative,strongsubj
against,anypos,n,negative,weaksubj
aggravate,verb,y,negative,strongsubj
aggravating,adj,n,negative,strongsubj
aggravation,noun,n,negative,strongsubj
aggression,adj,n,negative,strongsubj
aggression,noun,n,negative,strongsubj
aggressive,anypos,y,negative,strongsubj
aggressiveness,noun,n,negative,strongsubj
aggressor,noun,n,negative,strongsubj
aggrieve,verb,y,negative,strongsubj
aggrieved,adj,n,negative,strongsubj
aghast,adj,n,negative,strongsubj
agile,adj,n,positive,weaksubj
agilely,adverb,n,positive,weaksubj
agility,noun,n,positive,weaksubj
agitate,verb,y,negative,strongsubj
agitated,adj,n,negative,strongsubj
agitation,noun,n,negative,strongsubj
agitator,noun,n,negative,strongsubj
agonies,noun,n,negative,strongsubj
agonize,verb,y,negative,strongsubj
agonizing,adj,n,negative,strongsubj
agonizing,anypos,y,negative,strongsubj
agonizingly,anypos,n,negative,strongsubj
agony,noun,n,negative,strongsubj
agree,verb,y,positive,strongsubj
agreeability,anypos,y,positive,strongsubj
agreeable,adj,n,positive,weaksubj
agreeable,anypos,y,positive,strongsubj
agreeableness,anypos,y,positive,strongsubj
agreeably,anypos,y,positive,strongsubj
agreement,adj,n,positive,weaksubj
agreement,noun,n,positive,weaksubj
aha,anypos,y,neutral,strongsubj
ail,noun,n,negative,weaksubj
ail,verb,y,negative,weaksubj
ailment,noun,n,negative,weaksubj
aimless,adj,n,negative,strongsubj
air,verb,y,neutral,strongsubj
airs,adj,n,negative,weaksubj
airs,noun,n,negative,weaksubj
alarm,adj,n,negative,weaksubj
alarm,verb,y,negative,weaksubj
alarmed,adj,n,negative,strongsubj
alarming,adj,n,negative,strongsubj
alarmingly,anypos,n,negative,strongsubj
alas,anypos,y,negative,strongsubj
alert,adj,n,neutral,weaksubj
alienate,verb,y,negative,weaksubj
alienated,adj,n,negative,weaksubj
alienation,noun,n,negative,weaksubj
all time,adj,n,neutral,weaksubj
all time,noun,n,neutral,weaksubj
allay,verb,y,positive,strongsubj
allegation,anypos,n,negative,strongsubj
allegations,adj,n,negative,strongsubj
allege,verb,n,negative,weaksubj
allegations,noun,n,negative,strongsubj
allegorize,verb,y,neutral,strongsubj
allergic,adj,n,negative,weaksubj
alleviate,verb,y,positive,weaksubj
alliance,anypos,n,neutral,strongsubj
alliances,adj,n,neutral,strongsubj
alliances,noun,n,neutral,strongsubj
allow,verb,y,positive,weaksubj
allowable,adj,n,positive,weaksubj
allure,verb,y,positive,strongsubj
allure,noun,n,positive,strongsubj
alluring,anypos,n,positive,strongsubj
alluringly,anypos,n,positive,strongsubj
allusion,adj,n,neutral,strongsubj
allusion,noun,n,neutral,strongsubj
allusions,anypos,n,neutral,strongsubj
ally,noun,y,positive,strongsubj
almighty,adj,n,positive,strongsubj
aloof,adj,n,negative,strongsubj
altercation,noun,n,negative,weaksubj
although,anypos,y,negative,weaksubj
altogether,anypos,n,neutral,strongsubj
altruist,noun,n,positive,strongsubj
altruistic,adj,n,positive,strongsubj
altruistically,adj,n,positive,strongsubj
amaze,verb,y,positive,strongsubj
amazed,adj,n,positive,strongsubj
amazement,noun,n,positive,strongsubj
amazing,adj,n,positive,strongsubj
amazing,anypos,y,positive,strongsubj
amazingly,anypos,n,positive,strongsubj
ambiguous,adj,n,negative,strongsubj
ambiguity,noun,n,negative,strongsubj
ambitious,adj,n,positive,weaksubj
ambitious,noun,n,positive,weaksubj
ambitiously,anypos,y,positive,weaksubj
ambivalence,anypos,y,negative,strongsubj
ambivalent,adj,n,negative,strongsubj
ambivalent,noun,n,negative,strongsubj
ambush,noun,n,negative,weaksubj
ambush,verb,y,negative,weaksubj
ameliorate,verb,y,positive,strongsubj
amenable,adj,n,positive,strongsubj
amenity,noun,n,positive,weaksubj
amiability,noun,n,positive,strongsubj
amiabily,adverb,n,positive,strongsubj
amiable,adj,n,positive,strongsubj
amicability,noun,n,positive,strongsubj
amicable,adj,n,positive,strongsubj
amicably,adverb,n,positive,strongsubj
amiss,anypos,n,negative,strongsubj
amity,adj,n,positive,weaksubj
amity,noun,n,positive,weaksubj
amnesty,noun,n,positive,weaksubj
amour,noun,n,positive,strongsubj
ample,adj,n,positive,weaksubj
amply,adverb,n,positive,weaksubj
amplify,verb,y,neutral,weaksubj
amputate,verb,y,negative,weaksubj
amuse,verb,y,positive,strongsubj
amusement,adj,n,positive,strongsubj
amusement,noun,n,positive,strongsubj
amusing,adj,n,positive,strongsubj
amusing,anypos,y,positive,strongsubj
amusingly,anypos,y,positive,strongsubj
analytical,adj,n,neutral,weaksubj
anarchism,noun,n,negative,strongsubj
anarchist,noun,n,negative,strongsubj
anarchistic,adj,n,negative,strongsubj
anarchy,noun,n,negative,strongsubj
anemic,adj,n,negative,weaksubj
angel,noun,n,positive,weaksubj
angelic,adj,n,positive,strongsubj
anger,adj,n,negative,strongsubj
anger,noun,n,negative,strongsubj
anger,verb,y,negative,strongsubj
angrily,anypos,y,negative,strongsubj
angriness,anypos,y,negative,strongsubj
angry,adj,n,negative,strongsubj
anguish,noun,n,negative,strongsubj
anguish,verb,y,negative,strongsubj
annihilate,verb,y,negative,strongsubj
annihilation,noun,n,negative,strongsubj
animated,adj,n,positive,weaksubj
animosity,noun,n,negative,strongsubj
annoy,verb,y,negative,strongsubj
annoyance,noun,n,negative,strongsubj
annoyed,adj,n,negative,strongsubj
annoying,adj,n,negative,strongsubj
annoying,anypos,y,negative,strongsubj
annoyingly,anypos,n,negative,strongsubj
anomalous,adj,n,negative,weaksubj
anomaly,noun,n,negative,weaksubj
antagonism,noun,n,negative,strongsubj
antagonist,noun,n,negative,weaksubj
antagonistic,adj,n,negative,strongsubj
antagonize,verb,y,negative,strongsubj
anti ,noun,n,negative,strongsubj
anti American,adj,n,negative,strongsubj
anti American,noun,n,negative,strongsubj
anti Israeli,adj,n,negative,strongsubj
anti Israeli,noun,n,negative,strongsubj
anti Semites,adj,n,negative,strongsubj
anti Semites,noun,n,negative,strongsubj
anti US,adj,n,negative,strongsubj
anti US,noun,n,negative,strongsubj
anti occupation,adj,n,negative,strongsubj
anti occupation,noun,n,negative,strongsubj
anti proliferation,adj,n,negative,strongsubj
anti proliferation,noun,n,negative,strongsubj
anti social,adj,n,negative,strongsubj
anti white,adj,n,negative,strongsubj
anti white,noun,n,negative,strongsubj
antipathy,noun,n,negative,strongsubj
antiquated,adj,n,negative,strongsubj
antithetical,adj,n,negative,strongsubj
antithetical,noun,n,negative,strongsubj
anxieties,noun,n,negative,strongsubj
anxiety,noun,n,negative,strongsubj
anxious,anypos,n,negative,strongsubj
anxiously,anypos,n,negative,strongsubj
anxiousness,noun,n,negative,strongsubj
anyhow,anypos,y,neutral,strongsubj
anyway,anypos,y,neutral,strongsubj
anyways,anypos,y,neutral,strongsubj
apathetic,adj,n,negative,strongsubj
apathetic,noun,n,negative,strongsubj
apathetically,adverb,n,negative,strongsubj
apathy,noun,n,negative,strongsubj
ape,verb,y,negative,strongsubj
apocalypse,noun,n,negative,strongsubj
apocalyptic,adj,n,negative,strongsubj
apologist,adj,n,negative,strongsubj
apologist,noun,n,negative,strongsubj
apologists,adj,n,negative,strongsubj
apologists,noun,n,negative,strongsubj
apostle,adj,n,positive,strongsubj
apostle,noun,n,positive,strongsubj
apotheosis,adj,n,positive,strongsubj
apotheosis,noun,n,positive,strongsubj
appal,verb,y,negative,strongsubj
appall,adj,n,negative,strongsubj
appall,anypos,y,negative,strongsubj
appall,verb,y,negative,strongsubj
appalled,adj,n,negative,strongsubj
appalling,adj,n,negative,strongsubj
appallingly,anypos,n,negative,strongsubj
apparent,anypos,y,neutral,weaksubj
apparently,anypos,y,neutral,weaksubj
appeal,adj,n,positive,weaksubj
appeal,noun,n,positive,weaksubj
appeal,verb,y,positive,weaksubj
appealing,adj,n,positive,strongsubj
appear,anypos,y,neutral,weaksubj
appearance,adj,n,neutral,weaksubj
appearance,noun,n,neutral,weaksubj
appease,verb,y,positive,weaksubj
applaud,verb,y,positive,strongsubj
appreciable,adj,n,positive,weaksubj
appreciate,verb,y,positive,strongsubj
appreciation,adj,n,positive,strongsubj
appreciation,noun,n,positive,strongsubj
appreciative,anypos,n,positive,strongsubj
appreciatively,anypos,y,positive,strongsubj
appreciativeness,anypos,y,positive,strongsubj
apprehend,verb,y,neutral,weaksubj
apprehension,noun,n,negative,strongsubj
apprehensions,adj,n,negative,strongsubj
apprehensions,noun,n,negative,strongsubj
apprehensive,adj,n,negative,strongsubj
apprehensive,noun,n,negative,strongsubj
apprehensively,anypos,y,negative,strongsubj
appropriate,adj,n,positive,weaksubj
approval,noun,n,positive,weaksubj
approve,verb,y,positive,weaksubj
apt,adj,n,positive,weaksubj
aptly,adverb,n,positive,weaksubj
aptitude,noun,n,positive,weaksubj
arbitrary,adj,n,negative,strongsubj
arcane,adj,n,negative,strongsubj
archaic,adj,n,negative,strongsubj
ardent,adj,n,positive,strongsubj
ardently,anypos,n,positive,strongsubj
ardor,noun,n,positive,strongsubj
arduous,adj,n,negative,strongsubj
arduously,anypos,n,negative,strongsubj
aristocratic,adj,n,positive,weaksubj
argue,verb,y,negative,strongsubj
argument,adj,n,negative,weaksubj
argument,noun,n,negative,weaksubj
argumentative,anypos,y,negative,strongsubj
arguments,adj,n,negative,weaksubj
arguments,noun,n,negative,weaksubj
arousal,anypos,y,positive,strongsubj
arouse,verb,y,positive,strongsubj
arousing,anypos,y,positive,strongsubj
arresting,adj,n,positive,strongsubj
arrogance,noun,n,negative,strongsubj
arrogant,adj,n,negative,strongsubj
arrogant,anypos,y,negative,strongsubj
arrogantly,anypos,n,negative,strongsubj
arrogantly,anypos,y,negative,strongsubj
articulate,adj,n,positive,strongsubj
artificial,adj,n,negative,weaksubj
ascendant,adj,n,positive,strongsubj
ascendant,noun,n,positive,strongsubj
ascertainable,adj,n,positive,strongsubj
ascertainable,noun,n,positive,strongsubj
ashamed,adj,n,negative,strongsubj
asinine,adj,n,negative,strongsubj
asininely,adverb,n,negative,strongsubj
asinininity,noun,n,negative,strongsubj
askance,adverb,n,negative,strongsubj
asperse,verb,y,negative,strongsubj
aspersion,noun,n,negative,strongsubj
aspersions,noun,n,negative,strongsubj
aspiration,noun,n,positive,strongsubj
aspirations,adj,n,positive,strongsubj
aspirations,noun,n,positive,strongsubj
aspire,verb,y,positive,strongsubj
assail,verb,y,negative,weaksubj
assassinate,verb,y,negative,weaksubj
assassin,noun,n,negative,strongsubj
assault,adj,n,negative,weaksubj
assault,noun,n,negative,weaksubj
assent,verb,y,positive,strongsubj
assertions,adj,n,positive,strongsubj
assertions,noun,n,positive,strongsubj
assertive,adj,n,positive,weaksubj
assess,verb,y,neutral,strongsubj
assessment,adj,n,neutral,weaksubj
assessment,noun,n,neutral,weaksubj
assessments,adj,n,neutral,weaksubj
assessments,noun,n,neutral,weaksubj
asset,noun,n,positive,weaksubj
assiduous,adj,n,positive,strongsubj
assiduously,adverb,n,positive,strongsubj
assuage,verb,y,positive,weaksubj
assumption,adj,n,neutral,weaksubj
assumption,noun,n,neutral,weaksubj
assurance,adj,n,positive,weaksubj
assurance,noun,n,positive,weaksubj
assurances,adj,n,positive,weaksubj
assurances,noun,n,positive,weaksubj
assure,verb,y,positive,strongsubj
assuredly,anypos,n,positive,strongsubj
astonish,verb,y,positive,strongsubj
astonished,adj,n,positive,strongsubj
astonishing,adj,n,positive,strongsubj
astonishing,anypos,y,positive,strongsubj
astonishingly,anypos,n,positive,strongsubj
astonishment,noun,n,positive,strongsubj
astound,verb,y,positive,strongsubj
astounded,adj,n,positive,strongsubj
astounding,adj,n,positive,strongsubj
astounding,anypos,n,positive,strongsubj
astounding,anypos,y,positive,strongsubj
astoundingly,anypos,n,positive,strongsubj
astray,adj,n,negative,weaksubj
astronomic,adj,n,neutral,strongsubj
astronomical,adj,n,neutral,strongsubj
astronomically,anypos,n,neutral,strongsubj
astute,adj,n,positive,strongsubj
astutely,adverb,n,positive,strongsubj
asunder,anypos,n,negative,strongsubj
asylum,adj,n,positive,weaksubj
asylum,noun,n,positive,weaksubj
atrocious,adj,n,negative,strongsubj
atrocities,noun,n,negative,strongsubj
atrocity,noun,n,negative,strongsubj
atrophy,verb,y,negative,strongsubj
attack,noun,n,negative,weaksubj
attack,verb,y,negative,weaksubj
attain,verb,y,positive,weaksubj
attainable,adj,n,positive,weaksubj
attentive,adj,n,positive,strongsubj
attest,verb,y,positive,strongsubj
attitude,adj,n,neutral,strongsubj
attitude,noun,n,neutral,strongsubj
attitudes,adj,n,neutral,weaksubj
attitudes,noun,n,neutral,weaksubj
attraction,adj,n,positive,strongsubj
attraction,noun,n,positive,strongsubj
attractive,adj,n,positive,strongsubj
attractive,noun,n,positive,strongsubj
attractively,anypos,y,positive,strongsubj
attune,adj,n,positive,weaksubj
audacious,adj,n,negative,strongsubj
audaciously,anypos,n,negative,strongsubj
audaciousness,noun,n,negative,strongsubj
audacity,noun,n,negative,strongsubj
auspicious,adj,n,positive,strongsubj
austere,adj,n,negative,strongsubj
authentic,adj,n,positive,weaksubj
authoritarian,adj,n,negative,weaksubj
authoritative,adj,n,positive,weaksubj
autocrat,noun,n,negative,strongsubj
autocratic,adj,n,negative,strongsubj
award,adj,n,positive,weaksubj
award,verb,y,positive,weaksubj
awareness,noun,n,neutral,strongsubj
aware,adj,n,neutral,strongsubj
autocratic,adj,n,negative,strongsubj
autocratic,noun,n,negative,strongsubj
autonomous,adj,n,positive,weaksubj
avalanche,adj,n,negative,strongsubj
avalanche,noun,n,negative,strongsubj
avarice,noun,n,negative,strongsubj
avaricious,adj,n,negative,strongsubj
avariciously,adj,n,negative,strongsubj
avenge,verb,y,negative,strongsubj
aver,verb,y,positive,strongsubj
averse,anypos,n,negative,strongsubj
aversion,noun,n,negative,strongsubj
avid,adj,n,positive,strongsubj
avidly,anypos,n,positive,strongsubj
avoid,verb,y,negative,weaksubj
avoidance,noun,n,negative,weaksubj
awe,noun,n,positive,strongsubj
awe,verb,y,positive,strongsubj
awed,adj,n,positive,strongsubj
awesome,adj,n,positive,strongsubj
awesome,anypos,y,positive,strongsubj
awesomely,anypos,n,positive,strongsubj
awesomeness,noun,n,positive,strongsubj
awestruck,adj,n,positive,strongsubj
awful,adj,n,negative,strongsubj
awful,anypos,n,negative,strongsubj
awfully,anypos,n,negative,strongsubj
awfulness,anypos,y,negative,strongsubj
awfulness,noun,n,negative,strongsubj
awkward,adj,n,negative,strongsubj
awkwardness,noun,n,negative,strongsubj
ax,verb,y,negative,strongsubj
babble,verb,y,negative,strongsubj
baby,adj,n,neutral,strongsubj
baby,noun,n,neutral,strongsubj
back,verb,y,positive,weaksubj
backbite,verb,y,negative,strongsubj
backbiting,anypos,n,negative,strongsubj
backbone,noun,n,positive,weaksubj
backward,adj,n,negative,strongsubj
backwardness,noun,n,negative,strongsubj
bad,adj,n,negative,strongsubj
badly,adj,n,negative,strongsubj
baffle,verb,y,negative,strongsubj
baffled,adj,n,negative,strongsubj
bafflement,noun,n,negative,strongsubj
baffling,anypos,n,negative,strongsubj
bait,verb,y,negative,strongsubj
balanced,adj,n,positive,weaksubj
balk,verb,y,negative,strongsubj
banal,adj,n,negative,strongsubj
banal,anypos,y,negative,strongsubj
banalize,verb,y,negative,strongsubj
bane,noun,n,negative,strongsubj
banish,adj,n,negative,strongsubj
banish,verb,y,negative,strongsubj
banishment,noun,n,negative,strongsubj
bankrupt,adj,n,negative,weaksubj
bankrupt,verb,y,negative,weaksubj
bar,verb,y,negative,weaksubj
barbarian,adj,n,negative,strongsubj
barbarian,noun,n,negative,strongsubj
barbaric,adj,n,negative,strongsubj
barbarically,anypos,n,negative,strongsubj
barbarity,adj,n,negative,strongsubj
barbarity,noun,n,negative,strongsubj
barbarous,adj,n,negative,strongsubj
barbarous,anypos,y,negative,strongsubj
barbarously,anypos,n,negative,strongsubj
barely,anypos,y,negative,weaksubj
bargain,noun,n,positive,strongsubj
bargain,adj,n,positive,strongsubj
barren,adj,n,negative,strongsubj
baseless,adj,n,negative,strongsubj
bashful,adj,n,negative,strongsubj
basic,adj,n,positive,weaksubj
basically,anypos,n,neutral,weaksubj
bask,verb,y,positive,weaksubj
bastard,anypos,y,negative,strongsubj
bastard,noun,n,negative,strongsubj
batons,adj,n,neutral,weaksubj
batons,noun,n,neutral,weaksubj
battered,adj,n,negative,weaksubj
battering,adj,n,negative,weaksubj
battering,noun,n,negative,weaksubj
battle,verb,y,negative,weaksubj
battle lines,adj,n,negative,strongsubj
battle lines,noun,n,negative,strongsubj
battlefield,noun,n,negative,weaksubj
battleground,adj,n,negative,strongsubj
battleground,noun,n,negative,strongsubj
batty,adj,n,negative,strongsubj
beacon,noun,n,positive,weaksubj
bearish,adj,n,negative,weaksubj
beast,adj,n,negative,strongsubj
beast,noun,n,negative,strongsubj
beastly,adj,n,negative,strongsubj
beatify,verb,y,positive,strongsubj
beauteous,adj,n,positive,strongsubj
beautiful,adj,n,positive,strongsubj
beautiful,anypos,y,positive,strongsubj
beautifully,anypos,n,positive,strongsubj
beautify,verb,y,positive,strongsubj
beauty,noun,n,positive,strongsubj
bedlam,noun,n,negative,strongsubj
bedlamite,noun,n,negative,strongsubj
befit,verb,y,positive,strongsubj
befitting,adj,n,positive,strongsubj
befoul,verb,y,negative,strongsubj
befriend,verb,y,positive,strongsubj
beg,verb,y,negative,strongsubj
beggar,noun,n,negative,weaksubj
beggarly,adj,n,negative,strongsubj
begging,adj,n,negative,strongsubj
begging,noun,n,negative,strongsubj
beguile,verb,y,negative,strongsubj
belated,adj,n,negative,weaksubj
belabor,verb,y,negative,strongsubj
beleaguer,verb,y,negative,strongsubj
belie,verb,y,negative,strongsubj
belief,adj,n,neutral,strongsubj
belief,noun,n,neutral,strongsubj
beliefs,adj,n,neutral,weaksubj
beliefs,noun,n,neutral,weaksubj
believable,adj,n,positive,strongsubj
believe,verb,y,neutral,strongsubj
belittle,verb,y,negative,strongsubj
belittled,adj,n,negative,strongsubj
belittling,anypos,y,negative,strongsubj
bellicose,adj,n,negative,strongsubj
bellicose,noun,n,negative,strongsubj
belligerence,noun,n,negative,strongsubj
belligerent,adj,n,negative,strongsubj
belligerent,anypos,y,negative,strongsubj
belligerently,anypos,n,negative,strongsubj
beloved,adj,n,positive,strongsubj
bemoan,verb,y,negative,strongsubj
bemoaning,adj,n,negative,strongsubj
bemused,adj,n,negative,strongsubj
benefactor,noun,n,positive,weaksubj
beneficial,adj,n,positive,weaksubj
beneficent,adj,n,positive,strongsubj
beneficial,anypos,y,positive,strongsubj
beneficially,anypos,y,positive,strongsubj
beneficiary,adj,n,positive,strongsubj
beneficiary,noun,n,positive,strongsubj
benefit,adj,n,positive,weaksubj
benefit,noun,n,positive,weaksubj
benefits,adj,n,positive,weaksubj
benefits,noun,n,positive,weaksubj
benevolence,noun,n,positive,strongsubj
benevolent,adj,n,positive,strongsubj
benign,adj,n,positive,weaksubj
bent,adj,n,negative,weaksubj
berate,verb,y,negative,strongsubj
bereave,verb,y,negative,strongsubj
bereavement,noun,n,negative,strongsubj
bereft,anypos,n,negative,strongsubj
berserk,adj,n,negative,strongsubj
beseech,verb,y,negative,strongsubj
beset,adj,n,negative,weaksubj
besides,anypos,y,neutral,strongsubj
besiege,verb,y,negative,weaksubj
besmirch,verb,y,negative,strongsubj
best,anypos,y,positive,strongsubj
best known,adj,n,positive,strongsubj
best performing,adj,n,positive,strongsubj
best selling,adj,n,positive,weaksubj
bestial,adj,n,negative,strongsubj
betray,verb,y,negative,strongsubj
betrayal,noun,n,negative,strongsubj
betrayals,noun,n,negative,strongsubj
betrayer,noun,n,negative,strongsubj
better,adj,n,positive,strongsubj
better,anypos,y,positive,weaksubj
better known,adj,n,positive,strongsubj
better than expected,adj,n,positive,strongsubj
bewail,verb,y,negative,strongsubj
beware,verb,y,negative,weaksubj
bewilder,verb,y,negative,strongsubj
bewildered,adj,n,negative,strongsubj
bewildering,adj,n,negative,strongsubj
bewildering,anypos,n,negative,strongsubj
bewilderingly,anypos,n,negative,strongsubj
bewilderment,noun,n,negative,strongsubj
bewitch,verb,y,negative,strongsubj
bias,adj,n,negative,strongsubj
bias,noun,n,negative,strongsubj
bias,verb,y,negative,strongsubj
biased,adj,n,negative,strongsubj
biased,noun,n,negative,strongsubj
biases,adj,n,negative,strongsubj
